grid_id,target_month,year,month,label,label_name,degraded_fraction,healthy_fraction,clear_fraction,forest_fraction,valid_forest_fraction,mean_ndvi,hansen_fraction,hansen_available,lon,lat,x_utm,y_utm,source_csv,spatial_split,rgb_nodata_fraction
grid_401280_9412480,2024_01,2024,1,0,hutan_sehat,0.0,0.990741410488246,0.84381103515625,1.0,0.84381103515625,0.8057063902428948,0.1142578125,1,104.10905898021042,-5.314681687363872,401280.0,9412480.0,metadata_patches_2024.csv,val,0.15618896484375
grid_425600_9424000,2024_01,2024,1,1,degradasi,0.049925736442207,0.0022509336324345,0.852050302592346,0.98126220703125,0.8589911053057162,0.5539677456574623,0.1679417801828699,1,104.32864513569764,-5.210750496525361,425600.0,9424000.0,metadata_patches_2024.csv,test,0.05743408203125
grid_426880_9424000,2024_01,2024,1,1,degradasi,0.0420644605555954,0.0,0.872802734375,0.974609375,0.872432364729459,0.5489716727462399,0.0668211422845691,1,104.34019480422992,-5.210762712880708,426880.0,9424000.0,metadata_patches_2024.csv,train,0.127197265625
grid_432000_9374080,2024_01,2024,1,0,hutan_sehat,0.0,1.0,0.9002685546875,0.571533203125,0.9542930371636053,0.8635487048681878,0.0572404955147372,1,104.38593634387809,-5.662384537976038,432000.0,9374080.0,metadata_patches_2024.csv,train,0.0997314453125
grid_432000_9375360,2024_01,2024,1,0,hutan_sehat,0.0,1.0,1.0,0.91351318359375,1.0,0.8742144042884678,0.0515133293245139,1,104.38594855407786,-5.650805775555876,432000.0,9375360.0,metadata_patches_2024.csv,train,0.0
grid_432000_9376640,2024_01,2024,1,0,hutan_sehat,0.0,1.0,0.859536084993465,0.92681884765625,0.9083964438590716,0.8795704476591848,0.053210405004939,1,104.38596073891976,-5.639227008550032,432000.0,9376640.0,metadata_patches_2024.csv,train,0.0
grid_432000_9386880,2024_01,2024,1,0,hutan_sehat,0.000870158493552122,0.9930185265112664,0.8745531269725006,1.0,0.878173828125,0.8431066694380789,0.0023193359375,1,104.3860573034991,-5.546596706776856,432000.0,9386880.0,metadata_patches_2024.csv,val,0.0
grid_432000_9388160,2024_01,2024,1,0,hutan_sehat,0.0,0.997188607749664,0.9986572265625,1.0,0.9986572265625,0.8519181418046611,0.0,1,104.3860692598176,-5.535017898485501,432000.0,9388160.0,metadata_patches_2024.csv,test,0.0013427734375
grid_432000_9389440,2024_01,2024,1,0,hutan_sehat,0.0,0.9848020350922968,0.93572998046875,1.0,0.93572998046875,0.8181476242552262,0.0,1,104.38608119083916,-5.523439085688665,432000.0,9389440.0,metadata_patches_2024.csv,train,0.06427001953125
grid_432000_9390720,2024_01,2024,1,0,hutan_sehat,0.0,0.996354100038378,0.9542236328125,1.0,0.9542236328125,0.8071496215071109,0.0,1,104.38609309647993,-5.511860268353578,432000.0,9390720.0,metadata_patches_2024.csv,train,0.0457763671875
grid_433280_9375360,2024_01,2024,1,0,hutan_sehat,0.0,1.0,1.0,1.0,1.0,0.8753471594267117,0.00341796875,1,104.3975067324326,-5.650817879846431,433280.0,9375360.0,metadata_patches_2024.csv,val,0.0
grid_433280_9376640,2024_01,2024,1,0,hutan_sehat,0.0,1.0,1.0,1.0,1.0,0.86939836575663,0.0,1,104.39751868791072,-5.639239087850082,433280.0,9376640.0,metadata_patches_2024.csv,train,0.0
grid_433280_9377920,2024_01,2024,1,0,hutan_sehat,0.0,0.996652791805506,0.9956298828201682,0.9969482421875,0.998714338190278,0.8717513922279043,0.0274886739316762,1,104.39753061850404,-5.627660291250814,433280.0,9377920.0,metadata_patches_2024.csv,train,0.00079345703125
